date,heure,voitureMarque,voitureModele,imgGlobalName,imgPlaqueName,plateNumber
2021-09-22,14:32:13,Lotus,Elise,17595803.jpg,1759580308e4cc.png,1-YPU-021
2021-09-22,14:21:53,BMW,M5,17595776.jpg,175957762135c2.png,1-YPC-319
2021-09-22,14:20:49,Jeep,Grand,17595770.jpg,17595770240474.png,1-WHD-535
2021-09-22,14:20:31,Jeep,Grand,17595769.jpg,17595769fcd194.png,1-WHD-535
2021-09-22,14:19:54,Jeep,Grand,17595766.jpg,17595766dc82b3.png,1-UNZ-710
2021-09-22,14:18:57,Scania,R-series,17595761.jpg,175957614e43b9.png,2-ABQ-939
2021-09-22,14:06:06,BMW,3,17595677.jpg,17595677576ab1.png,1-VHH-904
2021-09-22,13:35:56,Volkswagen,,17595480.jpg,17595480a4242c.png,1-SZB-421
2021-09-22,13:17:26,Audi,TT,17595383.jpg,17595383e6c7ad.png,BRP-700
2021-09-22,13:07:16,,,17595299.jpg,1759529949ce33.png,Q-AMF-464
2021-09-22,12:56:14,DAF,XF,17595230.jpg,17595230979b74.png,1-BDV-566
2021-09-22,12:38:18,DAF,CF,17595175.jpg,17595175db38e1.png,1-VRJ-917
2021-09-22,11:58:54,Tesla,Model,17595044.jpg,17595044f41e42.png,1-UAT-538
2021-09-22,11:48:18,DAF,XF,17595001.jpg,17595001f05efc.png,1-SVV-955
2021-09-22,11:15:23,Mercedes-Benz,Actros,17594800.jpg,1759480042aedb.png,2-ACD-511
2021-09-22,11:09:10,Volvo,FM,17594755.jpg,175947550305a3.png,DS-002
2021-09-22,10:30:28,DAF,XF,17594598.jpg,175945983aa0ef.png,1-LGA-680
2021-09-22,09:30:16,Alfa,Romeo,17594383.jpg,1759438386c5e5.png,O-AZL-055
2021-09-22,09:28:23,Porsche,914,17594379.jpg,175943799810cc.png,O-AEB-569
2021-09-22,01:55:28,Opel,Vivaro,17593743.jpg,1759374374b3da.png,1-TJP-067
2021-09-21,21:05:56,Ford,Transit,17591905.jpg,17591905552634.png,2-AVJ-407
2021-09-21,19:32:31,BMW,3,17591068.jpg,17591068059803.png,1-DJS-205
2021-09-21,19:31:57,Lada,(VAZ),17591065.jpg,17591065f77bab.png,1-XLF-759
2021-09-21,19:30:54,Jeep,Renegade,17591057.jpg,17591057170b6d.png,1-XXD-410
2021-09-21,17:09:11,DAF,XF,17590222.jpg,17590222116fa1.png,1-VCN-686
2021-09-21,17:03:14,Hyundai,,17590184.jpg,1759018434da9d.png,1-FRT-361
2021-09-21,17:02:23,Audi,Q3,17590178.jpg,175901781fc1d0.png,1-EZI-419
2021-09-21,17:01:17,Nissan,Qashqai,17590169.jpg,175901695a8027.png,1-SUN-826
2021-09-21,17:00:26,Mercedes-Benz,E-Klasse,17590162.jpg,175901625b1518.png,1-JGZ-144
2021-09-21,16:59:50,Mercedes-Benz,E-Klasse,17590158.jpg,17590158c12437.png,T-XAE-518
2021-09-21,16:58:58,Renault,Twingo,17590150.jpg,17590150003b64.png,1-EVD-699
2021-09-21,16:58:29,Hyundai,Tucson,17590146.jpg,17590146c6ea82.png,1-GKN-367
2021-09-21,16:57:55,BMW,3,17590141.jpg,17590141a3feb2.png,1-NPV-900
2021-09-21,16:57:21,Dacia,Logan,17590137.jpg,175901376860c4.png,1-ARK-676
2021-09-21,16:56:43,Renault,Kangoo,17590135.jpg,17590135bea19c.png,1-VFD-596
2021-09-21,16:56:13,Skoda,Octavia,17590132.jpg,175901326bf24d.png,T-XAB-959
2021-09-21,16:55:07,Skoda,Fabia,17590130.jpg,17590130b62a94.png,1-NDK-655
2021-09-21,16:54:31,Opel,Corsa,17590127.jpg,1759012744682c.png,1-VKZ-891
2021-09-21,16:53:44,Audi,A3,17590123.jpg,175901238042d5.png,1-TPH-128
2021-09-21,16:53:01,Skoda,Fabia,17590118.jpg,175901182f0206.png,LUN-752
2021-09-21,16:52:25,Hyundai,i10,17590113.jpg,17590113f8c20e.png,1-EKE-289
2021-09-21,16:51:38,Renault,Clio,17590110.jpg,17590110a24bc7.png,1-WRC-311
2021-09-21,16:50:50,Ford,Transit,17590107.jpg,17590107c9e535.png,1-VHF-080
2021-09-21,16:49:35,Opel,Corsa,17590101.jpg,17590101052ec6.png,2-AMU-052
2021-09-21,15:29:50,Audi,Q5,17589656.jpg,17589656a141d7.png,1-TUV-241
2021-09-21,14:57:50,Toyota,Auris,17589541.jpg,1758954151321e.png,1-GKR-176
2021-09-21,14:53:32,Ford,Focus,17589520.jpg,17589520c0b215.png,1-YVM-124
2021-09-21,14:44:38,Skoda,Fabia,17589472.jpg,1758947204e6a8.png,1-CGN-037
2021-09-21,14:36:26,Mercedes-Benz,Vito,17589417.jpg,17589417ea69ac.png,TJ.431
2021-09-21,14:08:54,,,17589270.jpg,175892702b0d6b.png,1-UGR-154
2021-09-21,13:29:24,Volvo,FH,17589098.jpg,17589098e9e248.png,1-YJD-611
2021-09-21,13:05:34,Volvo,FH,17588996.jpg,1758899688155d.png,1-WBR-076
2021-09-21,13:01:46,MAN,TGX,17588985.jpg,175889852e657e.png,2-AAF-207
2021-09-21,12:57:24,Scania,G-series,17588974.jpg,175889744ebc1c.png,1-WCX-837
2021-09-21,12:40:22,Scania,S-series,17588919.jpg,175889199b35ed.png,2-AVJ-231
2021-09-21,12:17:32,Renault,Trucks,17588813.jpg,17588813e0bf6e.png,1-VVS-372
2021-09-21,11:46:19,Opel,Mokka,17588628.jpg,17588628780e4c.png,1-LHE-338
2021-09-21,11:09:25,Scania,R-series,17588469.jpg,17588469e38144.png,YQW-594
2021-09-21,10:09:41,DAF,XF,17588278.jpg,17588278501073.png,1-HFL-057
2021-09-21,09:42:28,Volvo,FH,17588217.jpg,175882175bb3c3.png,1-KUR-355
2021-09-21,09:20:54,DAF,XF,17588180.jpg,17588180c22093.png,1-NNJ-576
2021-09-21,09:08:22,,,17588156.jpg,1758815618cd74.png,Q-AMV-198
2021-09-21,09:06:34,Ford,Ranger,17588152.jpg,17588152ad8e6d.png,2-BAF-715
2021-09-21,09:03:08,Volvo,FH,17588150.jpg,175881500837d6.png,1-PLR-662
2021-09-21,08:54:10,Volkswagen,Polo,17588140.jpg,1758814072bbe9.png,1-LGF-378
2021-09-21,08:53:25,BMW,1,17588139.jpg,17588139431dc4.png,1-BUR-072
2021-09-21,08:52:33,Mazda,2,17588138.jpg,175881383abeac.png,1-RLP-358
2021-09-21,08:51:43,FIAT,500L,17588137.jpg,1758813728b643.png,1-NUU-617
2021-09-21,08:51:12,FIAT,Grande,17588136.jpg,17588136d6deb0.png,1-WNA-654
2021-09-21,08:50:35,Dacia,Lodgy,17588134.jpg,17588134b4447e.png,T-XAF-674
2021-09-21,08:49:42,Ford,Fiesta,17588132.jpg,1758813235f022.png,1-TNN-744
2021-09-21,08:49:09,FIAT,500,17588131.jpg,17588131a83832.png,2-AJA-730
2021-09-21,08:48:35,Renault,Kangoo,17588130.jpg,1758813059f1d6.png,1-WRZ-682
2021-09-21,08:48:02,Toyota,Corolla,17588129.jpg,175881294d5a76.png,1-VCN-986
2021-09-21,08:47:25,Volkswagen,Passat,17588126.jpg,17588126d5f0af.png,1-XFD-037
2021-09-21,08:46:52,Renault,Talisman,17588124.jpg,17588124e52409.png,1-VEY-945
2021-09-21,08:46:16,Citroёn,C1,17588121.jpg,17588121031519.png,1-DJU-420
2021-09-21,08:45:40,Renault,Clio,17588120.jpg,17588120df1b1b.png,1-AUJ-750
2021-09-21,08:45:07,Renault,Kangoo,17588118.jpg,17588118abc722.png,T-LAA-565
2021-09-21,08:44:25,Opel,Zafira,17588116.jpg,17588116e85228.png,T-XAB-359
2021-09-21,08:43:27,Suzuki,Splash,17588114.jpg,175881140c9671.png,1-EHL-489
2021-09-21,08:41:24,Volkswagen,Caddy,17588110.jpg,1758811040976e.png,1-VXC-593
2021-09-21,08:40:46,FIAT,Punto,17588108.jpg,175881082c6c9b.png,1-EOZ-553
2021-09-20,20:28:03,BMW,6,17585435.jpg,175854354a4431.png,1-PAB-246
2021-09-20,19:01:17,Alfa,Romeo,17584939.jpg,175849395b9048.png,1-XFH-756
2021-09-20,18:31:22,Peugeot,3008,17584668.jpg,17584668d23ebc.png,1-EVE-097
2021-09-20,17:56:28,Mercedes-Benz,S-Klasse,17584567.jpg,175845678e7683.png,1-VLK-360
2021-09-20,17:55:12,Mercedes-Benz,S-Klasse,17584557.jpg,17584557216cb7.png,1-VLK-360
2021-09-20,17:32:49,BMW,7,17584408.jpg,17584408a9be60.png,1-YMF-328
2021-09-20,17:32:07,Mazda,CX-5,17584404.jpg,17584404e1b60f.png,1-VSS-281
2021-09-20,17:29:58,Mitsubishi,Outlander,17584392.jpg,1758439273b45d.png,2-AQK-396
2021-09-20,17:23:23,Volvo,FH,17584355.jpg,17584355150f0e.png,1-TSM-707
2021-09-20,17:14:38,Volvo,FH,17584316.jpg,17584316affd2b.png,1-HYS-477
2021-09-20,16:24:01,Alfa,Romeo,17584106.jpg,17584106e54385.png,1-VFG-057
2021-09-20,15:12:00,Porsche,718,17583725.jpg,175837254f6f3b.png,1-SEH-194
2021-09-20,14:40:14,MAN,TGX,17583559.jpg,175835593e24d4.png,1-UGM-678
2021-09-20,13:57:15,Mercedes-Benz,Actros,17583393.jpg,175833934ecb2c.png,1-WEA-406
2021-09-20,13:40:23,DAF,XF,17583310.jpg,17583310b90aad.png,1-TMG-311
2021-09-20,12:27:15,Volvo,XC40,17582839.jpg,17582839789e5d.png,1-TMS-110
2021-09-20,12:22:21,Opel,Corsa,17582819.jpg,175828199c9e4f.png,YAF-434
2021-09-20,12:16:47,Renault,Captur,17582803.jpg,17582803a245b8.png,2-BAS-039
2021-09-20,12:14:51,Cupra,Formentor,17582795.jpg,17582795abc49e.png,2-AHD-265
2021-09-20,12:11:56,BMW,5,17582774.jpg,17582774a9ac88.png,2-AXT-129
2021-09-20,12:10:25,Subaru,Levorg,17582770.jpg,1758277037f1c1.png,1-PTF-875
2021-09-20,10:20:01,Volkswagen,Golf,17582303.jpg,17582303557652.png,2-AJV-014
2021-09-20,09:47:21,Volvo,FH,17582091.jpg,17582091796490.png,1-NCL-777
2021-09-20,09:43:09,Volvo,FH,17582074.jpg,1758207429a947.png,1-DMT-354
2021-09-20,09:40:03,Scania,R-series,17582060.jpg,17582060c63e9c.png,1-XDH-832
2021-09-20,08:56:47,Scania,G-series,17581909.jpg,175819095f3ce1.png,1-XLN-555
2021-09-20,08:47:29,SEAT,Ibiza,17581874.jpg,17581874b67f75.png,EGO
2021-09-20,08:46:54,Alfa,Romeo,17581871.jpg,1758187199a6f4.png,1-BXL-997
2021-09-20,08:46:15,Citroёn,Grand,17581868.jpg,1758186823cc68.png,1-GTA-278
2021-09-20,08:45:18,Ford,Focus,17581863.jpg,17581863e182ea.png,1-DJP-862
2021-09-20,08:44:38,Peugeot,Boxer,17581860.jpg,17581860297711.png,1-NBK-897
2021-09-20,08:43:45,Tesla,Model,17581853.jpg,17581853a759ff.png,1-XEV-379
