date,heure,voitureMarque,voitureModele,imgGlobalName,imgPlaqueName,plateNumber
2021-09-22,14:21:03,Renault,Captur,17595772.jpg,17595772700de2.png,52 CD 581
2021-09-22,14:17:40,SAAB,900,17595755.jpg,1759575527123e.png,BG-941-MF
2021-09-22,13:35:50,Citroёn,Berlingo,17595479.jpg,17595479eb04e5.png,DY-843-TB
2021-09-22,13:28:17,Renault,Laguna,17595442.jpg,17595442ebfff2.png,AT-269-QQ
2021-09-22,13:25:45,Renault,Laguna,17595426.jpg,17595426d3eac4.png,DJ-037-HC
2021-09-22,13:06:17,BMW,4,17595288.jpg,175952887c6042.png,EW-947-BK
2021-09-22,11:36:06,License,plate,17594945.jpg,17594945ead0ff.png,824 BEP 69
2021-09-22,11:33:28,License,plate,17594932.jpg,175949324ad5aa.png,BA-044-JL
2021-09-22,11:31:34,License,plate,17594924.jpg,17594924e0f409.png,6070 ZX 45
2021-09-22,11:28:54,License,plate,17594915.jpg,1759491563e9f1.png,AA-965-LK
2021-09-22,09:22:36,Opel,Corsa,17594364.jpg,175943646d691e.png,GA-376-EC
2021-09-22,09:21:20,Citroёn,C2,17594361.jpg,175943619969b4.png,EP-313-VD
2021-09-22,09:20:25,Peugeot,2008,17594356.jpg,1759435694ebba.png,GA-895-ZL
2021-09-22,09:19:13,Renault,Clio,17594351.jpg,175943512b26f3.png,AH-783-MH
2021-09-22,08:45:17,Renault,Twingo,17594208.jpg,17594208b0d11d.png,GA-834-PX
2021-09-22,08:44:37,Renault,Megane,17594204.jpg,17594204e7e47e.png,BY-452-AY
2021-09-22,08:43:48,Peugeot,2008,17594199.jpg,175941997b85de.png,FY-523-NT
2021-09-22,08:43:02,Renault,Megane,17594196.jpg,1759419626daf6.png,EZ-292-RT
2021-09-22,08:42:24,Renault,Clio,17594190.jpg,175941904170eb.png,CS-803-ZB
2021-09-22,08:41:42,Renault,Twingo,17594188.jpg,17594188375b15.png,FH-758-XF
2021-09-22,08:41:06,FIAT,Panda,17594186.jpg,17594186891370.png,CJ-067-ZX
2021-09-22,08:40:21,FIAT,Panda,17594183.jpg,175941836f8127.png,AE-783-JY
2021-09-22,08:39:39,Renault,Megane,17594180.jpg,17594180c24026.png,BQ-297-SJ
2021-09-22,08:38:44,Renault,Twingo,17594178.jpg,175941783d7c84.png,CH-375-SY
2021-09-22,08:36:29,Tesla,Model,17594172.jpg,17594172635dfc.png,GB-348-TS
2021-09-22,08:34:59,Rolls-Royce,Phantom,17594169.jpg,17594169bf0934.png,EE-366-PJ
2021-09-22,08:34:10,Ford,Fiesta,17594168.jpg,175941680a3e12.png,BX-254-EX
2021-09-22,08:33:22,Audi,A6,17594164.jpg,17594164ef9d46.png,ER-107-BS
2021-09-22,08:32:39,Opel,Vectra,17594162.jpg,17594162319e71.png,GA-965-GQ
2021-09-22,08:30:26,Hyundai,i20,17594155.jpg,17594155e72c14.png,GB-073-RP
2021-09-22,08:29:30,Mercedes-Benz,S-Klasse,17594152.jpg,17594152b4ca86.png,BQ-376-EA
2021-09-22,08:29:21,Suzuki,Vitara,17594150.jpg,17594150d32829.png,GB-201-QD
2021-09-22,08:26:54,Mercedes-Benz,CLA-Klasse,17594143.jpg,17594143ff72b9.png,GB-231-CA
2021-09-22,08:26:51,Bentley,Continental,17594142.jpg,17594142ea63ec.png,FD-613-YQ
2021-09-22,08:25:43,Suzuki,Swift,17594139.jpg,17594139cc8e0e.png,GB-494-PV
2021-09-22,08:24:48,Skoda,Pickup,17594135.jpg,17594135643678.png,BK-613-BR
2021-09-22,08:24:04,FIAT,Ducato,17594132.jpg,17594132d283e7.png,GB-805-PV
2021-09-22,08:22:44,BMW,1,17594126.jpg,1759412696f027.png,GB-192-BG
2021-09-22,08:22:30,Mercedes-Benz,C-Klasse,17594125.jpg,17594125227929.png,FY-555-NZ
2021-09-22,08:19:29,Ford,Tourneo,17594119.jpg,175941192fe065.png,GB-718-MX
2021-09-22,07:47:59,Citroёn,C3,17594035.jpg,175940359ad5ab.png,EZ-580-RR
2021-09-22,07:45:32,Citroёn,C3,17594028.jpg,17594028e649cc.png,CD-236-DZ
2021-09-22,07:44:18,Audi,A1,17594025.jpg,175940256bfa40.png,BG-723-VC
2021-09-22,07:43:16,Citroёn,Saxo,17594023.jpg,175940230d443b.png,AE-279-HR
2021-09-22,07:41:58,Citroёn,C3,17594019.jpg,17594019ba22cd.png,EZ-906-MB
2021-09-22,07:41:05,Citroёn,Nemo,17594017.jpg,17594017ef2303.png,AG-201-SD
2021-09-22,07:39:28,Ford,Ka,17594014.jpg,17594014b4cf56.png,AA-168-FP
2021-09-22,07:38:38,Alfa,Romeo,17594011.jpg,1759401112d7fe.png,DJ-245-RZ
2021-09-22,07:37:18,Renault,Captur,17594006.jpg,17594006ef72be.png,ED-561-NT
2021-09-22,07:36:30,Renault,Captur,17594004.jpg,175940044a79db.png,EQ-814-XX
2021-09-22,02:25:08,Citroёn,Xsara,17593776.jpg,1759377665f635.png,32 CSP 92
2021-09-22,02:24:37,Citroёn,Xsara,17593775.jpg,17593775a787f7.png,32 CSP 92
2021-09-22,02:22:46,Alpine,A110,17593774.jpg,17593774e4e83b.png,1488 GX 76
2021-09-22,02:21:40,Peugeot,205,17593773.jpg,17593773f74b2d.png,EQ-634-QK
2021-09-22,02:21:15,Peugeot,205,17593772.jpg,1759377259a53a.png,EQ-634-QK
2021-09-22,02:20:00,Peugeot,208,17593770.jpg,175937705861ae.png,EZ-186-FT
2021-09-22,01:58:08,Peugeot,Partner,17593748.jpg,17593748e3a420.png,6376 TD 39
2021-09-22,01:57:37,Volkswagen,Golf,17593746.jpg,17593746b0d39d.png,CV-964-RJ
2021-09-22,00:05:50,BMW,7,17593547.jpg,1759354795c05c.png,7063 RS 81
2021-09-22,00:03:39,Porsche,Macan,17593528.jpg,17593528db286c.png,DW-010-WK
2021-09-21,23:54:16,Opel,Mokka,17593440.jpg,17593440c1afe7.png,DZ-697-BZ
2021-09-21,23:36:11,Tesla,Model,17593294.jpg,175932949f58e5.png,FK-255-FN
2021-09-21,23:24:55,Renault,Megane,17593201.jpg,17593201160944.png,EN-199-SZ
2021-09-21,23:02:53,Renault,Arkana,17592997.jpg,17592997e64033.png,GB-095-MP
2021-09-21,22:44:08,Opel,Astra,17592855.jpg,17592855fd2289.png,AV-067-DR
2021-09-21,22:38:19,Audi,Q5,17592820.jpg,175928205a1752.png,EJ-361-CP
2021-09-21,22:36:43,Ford,Focus,17592803.jpg,17592803bd42d9.png,408 ESD 77
2021-09-21,22:31:44,Hymer,Mobil,17592751.jpg,17592751d6c4b8.png,AH-605-DB
2021-09-21,22:30:54,Hymer,Mobil,17592745.jpg,1759274560f7a5.png,AH-605-DB
2021-09-21,22:28:34,Renault,Grand,17592724.jpg,1759272455581b.png,EQ-813-BJ
2021-09-21,22:28:06,Skoda,Superb,17592719.jpg,175927194ca4fc.png,EQ-568-XE
2021-09-21,22:26:57,Porsche,911,17592710.jpg,17592710d480b2.png,EB-532-VQ
2021-09-21,22:26:30,BMW,M6,17592707.jpg,17592707fcfd73.png,CJ-343-PJ
2021-09-21,22:20:58,Citroёn,C5,17592667.jpg,17592667e6cc5c.png,4465 YD 62
2021-09-21,22:18:27,Lancia,Musa,17592648.jpg,175926481d5274.png,EQ-963-TD
2021-09-21,22:13:56,Renault,Vel,17592613.jpg,1759261300925c.png,W-083-LE
2021-09-21,22:05:11,Ford,Focus,17592558.jpg,1759255810f161.png,GB-206-RS
