date,heure,voitureMarque,voitureModele,imgGlobalName,imgPlaqueName,plateNumber
2021-09-22,11:40:41,Ferrari,488,17594966.jpg,17594966026962.png,FP 0720
2021-09-22,11:39:24,Ferrari,488,17594959.jpg,17594959eede2c.png,FP 0720
2021-09-22,11:37:17,BMW,Z4,17594951.jpg,17594951c9ef5d.png,ED 3737
2021-09-22,11:35:37,BMW,M2,17594942.jpg,175949428c1aba.png,CF 5556
2021-09-22,11:33:26,BMW,X5,17594931.jpg,17594931d1b88f.png,BG 0303
2021-09-22,11:32:21,BMW,X5,17594926.jpg,17594926a08722.png,BG 0303
2021-09-21,22:29:44,Volvo,XC60,17592735.jpg,17592735a2a689.png,EK 5985
2021-09-21,19:09:15,Audi,A7,17590898.jpg,1759089816a55e.png,VF 4444
2021-09-21,17:12:15,Iveco,S-Way,17590239.jpg,17590239e9e6fb.png,TW 3333
2021-09-21,17:04:42,Volvo,XC40,17590194.jpg,175901946e8f49.png,LA 0495
2021-09-21,13:07:01,DS,7,17589000.jpg,17589000914084.png,RA 9535
2021-09-21,10:50:24,Volkswagen,Beetle,17588382.jpg,17588382efc9d6.png,QT 5525
2021-09-21,10:31:11,Renault,Trucks,17588330.jpg,1758833058fcb6.png,SE 1339
2021-09-21,00:07:09,Lada,(VAZ),17587343.jpg,1758734375793f.png,8854
2021-09-21,00:06:07,Lada,(VAZ),17587335.jpg,1758733524f656.png,8854
2021-09-20,23:18:43,BMW,3,17586990.jpg,17586990b154b4.png,QT 2005
2021-09-20,17:22:58,Bentley,Continental,17584352.jpg,17584352f23bbe.png,MF 0413
2021-09-20,17:07:10,Mercedes-Benz,Actros,17584276.jpg,1758427610981c.png,VX 1920
2021-09-20,16:54:48,Volvo,XC60,17584228.jpg,175842287d16e7.png,QC 7132
2021-09-20,14:57:27,Mercedes-Benz,Sprinter,17583636.jpg,175836366f0707.png,SL 2481
2021-09-20,12:48:45,Citroёn,C6,17582934.jpg,17582934f0a350.png,CL 6624
2021-09-20,12:24:38,Audi,A4,17582831.jpg,17582831b4b280.png,QP 5910
2021-09-20,09:01:18,MAN,TGX,17581923.jpg,17581923045126.png,AW 0242
2021-09-20,08:48:12,Toyota,Aygo,17581876.jpg,17581876538dc6.png,WE 7477
2021-09-20,05:47:03,BMW,M5,17581544.jpg,17581544fbe4ac.png,EE 3900
2021-09-19,23:23:39,Porsche,911,17580628.jpg,175806281e8bd6.png,MS 4841
2021-09-19,23:17:42,Mercedes-Benz,E-Klasse,17580600.jpg,17580600dd0404.png,LB 0761
2021-09-19,23:15:54,BMW,5,17580586.jpg,1758058655f9b4.png,4244
2021-09-19,21:56:52,Mercedes-Benz,GLK-Klasse,17579779.jpg,17579779ccbafa.png,SG 0100
