date,heure,voitureMarque,voitureModele,imgGlobalName,imgPlaqueName,plateNumber
2021-09-22,15:10:04,Nissan,NV200,17595943.jpg,1759594357a5f2.png,8445 JKY
2021-09-22,15:08:12,Porsche,Cayenne,17595937.jpg,17595937e4a1a1.png,0365 CXL
2021-09-22,15:07:03,Citroёn,C5,17595934.jpg,17595934a4fe83.png,2588 DJF
2021-09-22,15:04:18,Kymco,,17595920.jpg,175959206914b0.png,7923 LJM
2021-09-22,15:01:27,Kymco,Like,17595910.jpg,17595910d1663d.png,5988 LBJ
2021-09-22,14:56:48,Subaru,G3X,17595892.jpg,175958928f9fac.png,5390 FVX
2021-09-22,14:55:13,Mercedes-Benz,Viano,17595885.jpg,17595885c5def9.png,7118 HMC
2021-09-22,14:53:46,SEAT,Cordoba,17595878.jpg,17595878b895cc.png,5123 FSD
2021-09-22,14:52:35,Peugeot,Partner,17595873.jpg,17595873ccd165.png,2365 JYK
2021-09-22,14:51:30,Ford,Focus,17595867.jpg,17595867dba191.png,8527 GDB
2021-09-22,14:48:51,Peugeot,206,17595856.jpg,175958561c0d38.png,0005 BNJ
2021-09-22,14:47:20,Nissan,Trade,17595850.jpg,17595850b258d9.png,Z 8266 BS
2021-09-22,14:45:05,Citroёn,C3,17595842.jpg,175958424052fa.png,3333 FNL
2021-09-22,14:43:25,Ford,Transit,17595840.jpg,1759584018441a.png,0050 FXZ
2021-09-22,13:57:09,Hyundai,Tucson,17595616.jpg,17595616fd63f3.png,6594 KVK
2021-09-22,13:51:29,DAF,XF,17595565.jpg,1759556539b955.png,3285 KWX
2021-09-22,13:11:41,Volvo,XC60,17595334.jpg,17595334c500d4.png,OI 310 068
2021-09-22,13:10:54,Volvo,XC60,17595327.jpg,1759532763e61f.png,OI 310 068
2021-09-22,11:00:41,Skoda,Superb,17594710.jpg,17594710d00cda.png,CD 67 004
2021-09-22,10:18:00,Porsche,944,17594540.jpg,175945407f5238.png,M 2400 LG
2021-09-22,08:57:11,KIA,Sportage,17594266.jpg,17594266cfebd5.png,1111 JDB
2021-09-22,07:54:50,Tata,Hispano,17594056.jpg,17594056fe6fe2.png,8923 GWF
2021-09-22,01:04:07,SEAT,1430,17593682.jpg,175936824f9bfd.png,GC 4364 A
2021-09-22,01:03:31,Morris,Mini,17593680.jpg,175936800adaf6.png,GC-60863
2021-09-22,01:02:50,BMW,7,17593677.jpg,17593677fc5b10.png,GC 3942 BN
2021-09-22,01:02:04,Austin,Mini,17593673.jpg,1759367345bb10.png,GC-61646
2021-09-22,01:01:07,SEAT,Marbella,17593668.jpg,175936688113d3.png,9374 FPB
2021-09-22,01:00:15,SEAT,600,17593665.jpg,175936650aa171.png,LU-26691
2021-09-22,00:44:49,Suzuki,SX4,17593638.jpg,175936388f2d52.png,OI 153 015
2021-09-22,00:42:37,Volkswagen,Passat,17593635.jpg,1759363565226f.png,1609 DYB
2021-09-22,00:40:43,Volkswagen,Golf,17593632.jpg,175936327e4955.png,4854 DLX
2021-09-22,00:39:29,Volkswagen,Golf,17593630.jpg,17593630d9a968.png,6022 CSS
2021-09-22,00:38:12,Volkswagen,Golf,17593628.jpg,1759362849d52f.png,9669 BMP
2021-09-22,00:36:32,Volkswagen,Jetta,17593626.jpg,17593626e663fe.png,1517 FXR
2021-09-22,00:04:32,BMW,X2,17593537.jpg,175935378ffbf8.png,4641 LSJ
2021-09-22,00:03:47,Volkswagen,Crafter,17593531.jpg,175935317b573d.png,7142 LSN
2021-09-22,00:00:33,Hyundai,Kona,17593502.jpg,175935025757a0.png,4783 LSH
2021-09-21,23:59:44,SEAT,Leon,17593494.jpg,175934945b6b61.png,6842 LSB
2021-09-21,23:58:47,Hyundai,i30,17593482.jpg,175934827ac003.png,0163 LSC
2021-09-21,23:55:20,Alfa,Romeo,17593451.jpg,17593451575bcc.png,1269 FGH
2021-09-21,23:51:48,Renault,7,17593418.jpg,17593418c786ef.png,M 7103 EB
2021-09-21,23:35:53,,,17593291.jpg,175932910dae72.png,R 2345 BBL
2021-09-21,23:34:56,,,17593281.jpg,17593281bddb8e.png,0725 JYV
2021-09-21,23:33:27,Mitsubishi,Canter,17593264.jpg,17593264ff34ba.png,5569 CTV
2021-09-21,22:32:17,,,17592755.jpg,17592755e844b7.png,R 3805 BDD
2021-09-21,22:30:22,,,17592740.jpg,17592740aa9055.png,3347 JLH
2021-09-21,22:27:59,Citroёn,Berlingo,17592717.jpg,175927172f6952.png,3917 JKL
2021-09-21,22:26:06,Chevrolet,Kalos,17592704.jpg,175927043000e6.png,1081 DXC
2021-09-21,22:23:56,KIA,Picanto,17592689.jpg,175926897d1823.png,7413 HSH
2021-09-21,22:21:23,BMW,5,17592671.jpg,1759267165d203.png,GC 4723 BG
2021-09-21,22:18:54,Renault,Trafic,17592654.jpg,17592654f5d42a.png,0057 KFN
2021-09-21,22:03:40,Toyota,Prius,17592549.jpg,17592549735c88.png,7138 JSJ
