date,heure,voitureMarque,voitureModele,imgGlobalName,imgPlaqueName,plateNumber
2021-09-22,13:17:29,Jeep,Grand,17595386.jpg,175953865462f8.png,PCJ-9854
2021-09-22,12:38:27,License,plate,17595177.jpg,17595177951392.png,JGJ-20V
2021-09-22,11:58:33,Ford,Edge,17595042.jpg,17595042db5747.png,6728 WU
2021-09-22,11:53:32,BMW,5,17595024.jpg,175950248cd240.png,GCK-9945
2021-09-22,11:51:59,Mercedes-Benz,C-Klasse,17595015.jpg,17595015555476.png,HDH-6855
2021-09-22,11:50:01,Nissan,Altima,17595009.jpg,17595009c90c61.png,YQR 968
2021-09-22,11:49:38,Honda,Civic,17595007.jpg,17595007c0cc86.png,YJZ 004
2021-09-22,11:49:16,Nissan,Rogue,17595005.jpg,17595005e3ff60.png,ZHX 566
2021-09-22,10:55:53,Toyota,Highlander,17594691.jpg,17594691cd5560.png,B10 5297
2021-09-22,10:46:53,,,17594661.jpg,1759466119051f.png,R018Y0
2021-09-22,10:41:38,Toyota,Prius,17594649.jpg,17594649578a3d.png,KARICAT
2021-09-22,10:39:22,Ford,Police,17594639.jpg,1759463971dade.png,1488308
2021-09-22,10:37:51,Ford,Police,17594631.jpg,1759463150e6b4.png,1488308
2021-09-22,09:42:45,Hyundai,Tucson,17594409.jpg,175944091e00d1.png,108 2434
2021-09-22,09:20:42,Toyota,Avalon,17594359.jpg,175943595b1cf8.png,OBW-694
2021-09-22,09:01:22,Dodge,Journey,17594287.jpg,17594287dd515d.png,LILSEXY
2021-09-22,08:44:49,Chevrolet,Equinox,17594206.jpg,17594206538659.png,100 7669
2021-09-22,08:31:44,Chevrolet,,17594159.jpg,175941597c36ac.png,57  LQ9
2021-09-22,07:58:27,Porsche,911,17594070.jpg,17594070716ccf.png,BQW9499
2021-09-22,06:43:18,Honda,Civic,17593929.jpg,175939296cf88f.png,YP 0S
2021-09-22,06:40:45,Ford,,17593926.jpg,1759392627f30a.png,NANA12
2021-09-22,06:30:33,Toyota,Tacoma,17593916.jpg,17593916333d68.png,50000B2
2021-09-22,06:28:40,Lexus,RX,17593914.jpg,1759391424eaf0.png,EMMZTOY
2021-09-22,06:23:28,Toyota,RAV4,17593910.jpg,1759391092c761.png,ARCHIE
2021-09-22,06:18:55,Nissan,Altima,17593906.jpg,1759390694b57f.png,AMER
2021-09-22,06:08:31,Chevrolet,Corvette,17593895.jpg,175938957984c1.png,NV YORK
2021-09-22,05:53:21,Mitsubishi,Outlander,17593889.jpg,175938892f3378.png,RUSH ON
2021-09-22,04:15:12,Chevrolet,Cobalt,17593861.jpg,1759386157fc22.png,RDZ7532
2021-09-22,04:14:36,Jeep,Wrangler,17593860.jpg,175938607b7f06.png,14DN126
2021-09-22,04:14:03,Toyota,Prius,17593859.jpg,175938597ce9d4.png,10BJ168
2021-09-22,04:13:36,KIA,K5,17593858.jpg,175938586f73ff.png,18BN296
2021-09-22,04:13:02,Toyota,RAV4,17593857.jpg,17593857864200.png,TCF2125
2021-09-22,04:12:13,Dodge,Journey,17593856.jpg,175938563150ac.png,0995AA8
2021-09-22,04:11:40,Honda,CR-V,17593855.jpg,17593855f626b1.png,TJP003
2021-09-22,04:10:52,Toyota,Tacoma,17593854.jpg,17593854aea9b0.png,PSQ3323
2021-09-22,03:51:45,Toyota,Corolla,17593848.jpg,175938480821d8.png,TAB-6960
2021-09-22,03:48:50,Jeep,Grand,17593847.jpg,1759384789deaa.png,Q13 1937
2021-09-22,03:46:07,Chevrolet,Tahoe,17593844.jpg,1759384490604b.png,2666JJ
2021-09-22,03:46:06,Ford,Fusion,17593843.jpg,17593843f817af.png,CEN9102
2021-09-22,03:45:01,Dodge,Viper,17593841.jpg,1759384144d127.png,EBA 6305
2021-09-22,03:43:58,Toyota,Camry,17593840.jpg,17593840733681.png,5626BH8
2021-09-22,03:43:53,BMW,M5,17593839.jpg,17593839f668d9.png,DQN 8084
2021-09-22,03:43:16,Nissan,Sentra,17593838.jpg,17593838022d48.png,1EA0320
2021-09-22,03:42:57,Chevrolet,Camaro,17593837.jpg,17593837ee5bd9.png,307082
2021-09-22,03:42:44,Nissan,Sentra,17593835.jpg,17593835509ac8.png,1EA0320
2021-09-22,03:41:57,Ford,Taurus,17593834.jpg,1759383460a591.png,JG5 M0F
2021-09-22,03:41:20,Ford,Mustang,17593832.jpg,17593832abfd5d.png,DJC 6915
2021-09-22,03:40:47,Ford,Taurus,17593831.jpg,17593831cb8ff2.png,JG5 M0F
2021-09-22,03:40:40,Alfa,Romeo,17593830.jpg,17593830777256.png,355659
2021-09-22,03:40:01,Subaru,Crosstrek,17593829.jpg,17593829bed022.png,612-ANW
2021-09-22,03:39:50,Chevrolet,Camaro,17593828.jpg,1759382882a7f4.png,REVHTRD
2021-09-22,03:39:03,Chevrolet,Corvette,17593826.jpg,1759382628487c.png,SEVN T1
2021-09-22,03:38:26,Lincoln,LS,17593824.jpg,17593824ee634b.png,BB4 E4L
2021-09-22,03:38:03,Pontiac,G8,17593823.jpg,17593823616e1f.png,SL0WL76
2021-09-22,03:37:46,Lincoln,LS,17593822.jpg,175938228429ba.png,BB4 E4L
2021-09-22,03:37:14,Ford,Mustang,17593821.jpg,1759382121ec7f.png,0WLBBAK
2021-09-22,03:37:04,Toyota,Sienna,17593820.jpg,17593820081254.png,58D3T50
2021-09-22,03:36:23,Toyota,Highlander,17593818.jpg,175938181ef06a.png,NCB-1970
2021-09-22,03:35:56,Chevrolet,Corvette,17593816.jpg,175938165bffca.png,DDB 187
2021-09-22,03:34:38,Chevrolet,Corvette,17593815.jpg,17593815e4c7e7.png,DGT 9649
2021-09-22,03:33:29,Ford,Deluxe,17593814.jpg,17593814101e72.png,223290
2021-09-22,03:32:46,Ford,Model,17593812.jpg,17593812e3f83f.png,A4CRUZN
2021-09-22,03:32:10,Ford,Thunderbird,17593811.jpg,17593811c5059d.png,DYN 0579
2021-09-22,03:31:33,Pontiac,Firebird,17593810.jpg,1759381033b72e.png,DUBLUS6
2021-09-22,03:30:33,Dodge,Challenger,17593808.jpg,17593808708349.png,GREENRT
2021-09-22,03:29:34,Land,Rover,17593807.jpg,17593807a2e656.png,EDR 2238
2021-09-22,03:28:50,Chevrolet,Camaro,17593806.jpg,175938065e5caa.png,ZZZYAA
