date,heure,voitureMarque,voitureModele,imgGlobalName,imgPlaqueName,plateNumber
2021-09-10,23:07:20,Audi,RS3,17512099.jpg,1751209917bcab.png,FH-043-YG
2021-09-10,22:23:56,Peugeot,405,17511753.jpg,17511753daafe3.png,8193 NB 12
2021-09-10,22:22:48,Peugeot,205,17511738.jpg,17511738c8a9ad.png,2057 MJ 12
2021-09-10,22:18:37,,,17511692.jpg,17511692092e43.png,6615 FT 90
2021-09-10,22:17:53,Volkswagen,Fox,17511688.jpg,17511688bfa872.png,9263 XE 72
2021-09-10,22:16:50,Ford,Focus,17511678.jpg,175116784ecafc.png,DK-563-CX
2021-09-10,22:15:55,FIAT,500X,17511669.jpg,17511669aaf289.png,ES-893-SJ
2021-09-10,22:15:03,Mercedes-Benz,,17511657.jpg,17511657c0f701.png,3765 PG 69
2021-09-10,22:13:03,SAAB,9-3,17511642.jpg,175116423d51f2.png,CN-367-YE
2021-09-10,22:01:44,BMW,5,17511539.jpg,17511539e9c9fd.png,4700 TQ 72
2021-09-10,22:00:39,Opel,Mokka,17511528.jpg,175115283bba02.png,EL-138-DM
2021-09-10,21:57:24,Volkswagen,Fox,17511499.jpg,175114994f447d.png,DG-079-XQ
2021-09-10,21:56:01,Volkswagen,Fox,17511487.jpg,175114871bfb31.png,DG-079-XQ
2021-09-10,21:50:41,Mercedes-Benz,B-Klasse,17511434.jpg,17511434fde45b.png,CW-467-YX
2021-09-10,21:50:36,Renault,Clio,17511433.jpg,1751143399e045.png,DW-259-WR
2021-09-10,21:31:35,Ford,Puma,17511319.jpg,17511319f0fcf4.png,GA-051-VS
2021-09-10,21:29:44,KIA,Stonic,17511305.jpg,17511305e51450.png,EY-960-TG
2021-09-10,21:28:57,Dacia,Duster,17511296.jpg,17511296daf7c0.png,EJ-264-PJ
2021-09-10,21:26:00,Mercedes-Benz,E-Klasse,17511263.jpg,17511263df1e46.png,FQ-722-LS
2021-09-10,21:22:27,Peugeot,206,17511240.jpg,175112407b90da.png,3889 RY 19
2021-09-10,21:22:10,Peugeot,206,17511235.jpg,17511235f57028.png,3889 RY 19
2021-09-10,21:21:37,Mercedes-Benz,T1,17511228.jpg,175112286299ce.png,2610 NP 33
2021-09-10,21:20:59,Volkswagen,Bora,17511223.jpg,175112231cb4f4.png,1437 XB 74
2021-09-10,21:19:58,Renault,Clio,17511221.jpg,17511221b9b645.png,EK-235-JM
2021-09-10,21:19:36,Mercedes-Benz,C-Klasse,17511219.jpg,17511219d60052.png,9876 YR 78
2021-09-10,21:19:21,Mercedes-Benz,C-Klasse,17511215.jpg,175112152bd740.png,9876 YR 78
2021-09-10,21:18:29,Citroёn,C5,17511210.jpg,175112106eb794.png,569 FND 92
